describe,evaluate,introduce,movie_name,serial_number,star
不要企图在重复中寻找已经失去的爱。,448470人评价,2009/英国澳大利亚/剧情悬疑惊悚,恐怖游轮,187,8.4
来啊，互相伤害啊！,326613人评价,2016/意大利/剧情喜剧,完美陌生人,188,8.5
想你时你在闹海。,118790人评价,1979/中国大陆/冒险动画奇幻,哪吒闹海,189,9.0
人生的N种可能性。,171639人评价,1950/日本/犯罪剧情悬疑,罗生门,190,8.8
是枝裕和的家庭习作。,206900人评价,2015/日本/剧情家庭,海街日记,191,8.7
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,218793人评价,2003/美国澳大利亚/动作科幻,黑客帝国3：矩阵革命,192,8.6
王家卫是一种风格，张国荣是一个代表。,288790人评价,1990/香港/犯罪剧情爱情,阿飞正传,193,8.5
传奇的年代，醉人的童话。,85667人评价,1983(中国大陆)/2019(中国大陆重映)/中国大陆/动画奇幻,天书奇谭,194,9.1
一个单凭体香达到高潮的男人。,355984人评价,2006/德国法国西班牙美国/剧情犯罪奇幻,香水,195,8.5
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,329890人评价,2008/美国德国/剧情爱情,朗读者,196,8.5
世界离独裁只有五天。,170474人评价,2008/德国/剧情惊悚,浪潮,197,8.7
坚硬的信仰。,167845人评价,2004/中国大陆香港/剧情犯罪,可可西里,198,8.7
谁说王家卫镜头很晃？,214235人评价,2004/美国德国/动作悬疑惊悚,谍影重重2,199,8.6
弱者送给弱者的一刀。,145728人评价,1991/台湾/剧情犯罪,牯岭街少年杀人事件,200,8.8
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,255353人评价,2002/美国德国捷克/动作悬疑惊悚,谍影重重,201,8.6
做一颗让别人需要你的棋子。,220986人评价,2005/美国法国/剧情犯罪,战争之王,202,8.6
天使保护事件始末。,117386人评价,2007/印度/剧情儿童家庭,地球上的星星,203,8.9
中国版《两杆大烟枪》。,440530人评价,2006/中国大陆香港/喜剧犯罪,疯狂的石头,204,8.4
故事的反转与反转，分裂电影的始祖。,117302人评价,1960/美国/悬疑惊悚恐怖,惊魂记,205,8.9
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,297140人评价,1993/香港/剧情爱情奇幻古装,青蛇,206,8.5
黑小鸭速效美白记。,618374人评价,2010/泰国/剧情喜剧爱情,初恋这件小事,207,8.3
少见的超越首部的续集，动作片中的经典。,193787人评价,1991/美国法国/动作科幻,终结者2：审判日,208,8.6
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,513015人评价,2011/美国加拿大/科幻悬疑惊悚,源代码,209,8.4
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,134666人评价,2008/日本/剧情家庭,步履不停,210,8.8
宝莱坞的萝莉与大叔。,261164人评价,2015/印度/剧情喜剧动作,小萝莉的猴神大叔,211,8.5
嬉笑怒骂，调风动月。,251621人评价,1992/香港中国大陆/动作爱情武侠古装,新龙门客栈,212,8.5
只有有信仰的人才能说出事实真相。,165692人评价,2011/伊朗法国/剧情家庭,一次别离,213,8.7
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,162603人评价,2013/美国希腊/剧情爱情,爱在午夜降临前,214,8.8
诺兰的牛逼来源于内心散发出的恐惧。,106252人评价,1998/英国/犯罪悬疑惊悚,追随,215,8.9
爱我就给我看你的播放列表。,239377人评价,2013/美国/喜剧爱情音乐,再次出发之纽约遇见你,216,8.5
警恶惩奸，维护世界和平这个任务就交给你了，好吗？,444439人评价,2004/中国大陆香港/动作喜剧犯罪奇幻,功夫,217,8.4
